"plotcode" "block" "mixcode" "year" "season" "sowndiv" "Weed.bm" "Weed.cover" "Total.bm" "total.bm.year" "Alo.pra" "Ant.syl" "Arr.ela" "Dac.glo" "Ger.pra" "Phl.pra" "Poa.tri" "Tri.pra" "Tri.rep" "Alo.pra.bm" "Ant.syl.bm" "Arr.ela.bm" "Dac.glo.bm" "Ger.pra.bm" "Phl.pra.bm" "Poa.tri.bm" "Tri.pra.bm" "Tri.rep.bm" "Alo.pra.cover" "Ant.syl.cover" "Arr.ela.cover" "Dac.glo.cover" "Ger.pra.cover" "Phl.pra.cover" "Poa.tri.cover" "Tri.pra.cover" "Tri.rep.cover" "r_asym" "alpha" "a_intra" "a_inter" "n_dif_m" "f_dif_m" "nf_dif_m" "str_n_dif" "str_f_dif" "str_nf_dif" "com_mean" "com_sd" "com_stab" "sp_mean" "sp_sd" "sp_stab" "stab" "syn_l" "syn_g"
"B1B017" 1 "S04M20" 2015 1.5 4 0 13 145.6 23738.8305 0 1 1 0 0 1 1 0 0 0 0 145.6 0 0 0 0 0 0 0 0 60 0 0 0 5.5 0 0 0.719219197 0.0138230076628029 0.00958870381122238 0.0152344422799964 0.50911988650835 6.24570885469048 -5.73658896818213 -2.29809882677436 18.9024031844731 -21.2005020112475 256.327457492308 122.078637094633 2.09969134315948 64.0818643726154 45.6739982402953 1.04042788226614 2.09969134316897 0.508532715622544 0.266854925422567
"B1B019" 1 "S03M10" 2015 1.5 3 0 16 95.97 23738.8305 0 0 0 1 0 1 1 0 0 0 0 0 92.35 0 0 3.62 0 0 0 0 0 50 0 0 10.5 0 0 0.484838506666667 0.00986524073819188 0.00623858016119294 0.0116785710266913 0.591896801570424 6.09220957750834 -5.50031277593792 -2.31456520242208 20.9614391132023 -23.2760043156243 157.733384615385 94.854764494233 1.66289364014998 52.5777948717949 35.9150252384934 1.11677169065192 1.66289364014998 0.796982526036262 0.506414564917135
"B1B021" 1 "S04M33" 2015 1.5 4 0 17.5 96.9 23738.8305 1 0 0 0 0 1 0 1 1 52.9 0 0 0 0 0 0 44 0 10 0 0 0 0 0 0 10 5.5 0.191081124666667 0.0174350918103619 0.00613330042550707 0.0212023556053135 0.82135519279931 6.81528758234837 -5.99393238954906 -2.38432313172138 22.5751076552221 -24.9594307869435 186.4184205 89.7023142467471 2.0781896438838 46.6046051251154 39.6166995899489 0.924022714375225 2.07818964393182 0.379786705808819 0.100289918019478
"B1B023" 1 "S02M48" 2015 1.5 2 0 5 99.25 23738.8305 0 0 0 1 0 0 0 0 1 0 0 0 99.25 0 0 0 0 0 0 0 0 70 0 0 0 0 0 0.125172722 0.00814989789346796 0.00710980977238588 0.00918998601455004 0.945161969856677 16.4514090429969 -15.5062470731402 -1.06496370761598 26.2901756313809 -27.3551393389969 174.11626951 95.3475065499278 1.8261229455311 87.0581347557692 48.9074350952941 1.19668548564401 1.82612294555881 0.953136547796213 0.623223481354383
"B1B024" 1 "S03M18" 2015 1.5 3 0 11.5 122.425 23738.8305 1 0 0 1 0 0 0 0 1 58.655 0 0 63.77 0 0 0 0 0 20 0 0 30 0 0 0 0 0 0.0834484813333333 0.00626740072336804 0.00571785257838244 0.00654217479586085 0.931167068794873 10.5598304053117 -9.62866333651681 -2.34577657198061 32.9417174766549 -35.2874940486355 181.691923076923 98.4547541711941 1.845435749715 60.5639743589744 41.3591547342689 1.4625774911571 1.845435749715 0.676507376961842 0.198717581726414
"B1B026" 1 "S02M43" 2015 1.5 2 0 27.5 13.95 23738.8305 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 13.95 0 0 0 0 0 0 0 0 10 0 0.357382731 0.0119166798151009 0.00554503665439987 0.018288322975802 0.546475185791903 2.60052454254209 -2.05404935675019 -0.282980170776164 5.89842452060215 -6.18140469137831 146.442758546154 139.117893879896 1.05265221073992 73.2213792730769 87.4643971886963 0.839945701914058 1.05265221073992 0.651376553345277 0.24733850868832
"B1B028" 1 "S02M26" 2015 1.5 2 0 4.5 72.72 23738.8305 0 0 0 1 1 0 0 0 0 0 0 0 37.41 35.31 0 0 0 0 0 0 0 30 40 0 0 0 0 1.228387825 0.00474004088195608 0.00565925052833337 0.00382083123557879 0.874121906072785 1.61865610324393 -0.744534197171145 -0.53787674080043 5.23652249005389 -5.77439923085432 151.064692307692 111.891130041948 1.350104268775 75.5323461538462 76.2158546312505 1.05547897093438 1.350104268775 0.571148670050552 -0.401726773117567
"B1B031" 1 "S09M01" 2015 1.5 9 0 5.5 186.53 23738.8305 1 1 1 1 1 1 1 1 1 0 0 140.25 20.985 22.65 0 2.645 0 0 5.5 0 40 15 20 0 5.5 0 0 0.713055136166667 0.012247949129565 0.00804123305430551 0.0127737886389725 0.725363932950081 6.14198450534007 -5.41662057238999 -17.1531036076924 29.8053910482126 -46.9584946559051 316.378361338462 103.029160481873 3.07076520723592 35.1531512589145 30.235279207269 0.898545199110857 3.07076520699598 0.222184778771042 0.00481196733731336
"B1B034" 1 "S04M22" 2015 1.5 4 0 3.5 235.2545 23738.8305 1 1 0 1 0 0 0 1 0 9.505 0.1995 0 207.55 0 0 0 18 0 15 0.5 0 30 0 0 0 10 0 0.856924687666667 0.0107079626292229 0.00922936708935947 0.0112008278091774 0.657891721129779 3.56596142256145 -2.90806970143167 -2.3174807048435 20.5092518149083 -22.8267325197518 212.27535566 108.093386392999 1.96381446398785 53.0688389120192 50.1023341764049 1.01496997720863 1.96381446386308 0.346336928164228 0.0200942931436279
"B1B035" 1 "S04M24" 2015 1.5 4 0 7.5 256.495 23738.8305 0 0 1 1 0 0 1 1 0 0 0 213.45 8.265 0 0 7.8 26.98 0 0 0 45 15 0 0 5.5 10 0 0.567259813666667 0.00699444526491208 0.00711650720868982 0.0069537579503195 0.912468445942987 6.58477605750613 -5.67230761156314 -2.61422089273311 29.1896099750148 -31.8038308677479 302.170624553846 90.1626321099091 3.35139533399488 75.5426561391923 44.7929407609715 1.47322634970221 3.35139533400751 0.360486188649933 0.131373559542522
"B1B039" 1 "S02M40" 2015 1.5 2 0 6 141.81 23738.8305 0 0 1 0 0 0 0 1 0 0 0 88.6 0 0 0 0 53.21 0 0 0 35 0 0 0 0 40 0 0.69426743 0.00402968665029594 0.00579285443300771 0.00226651886758417 0.96811280455671 6.37743908865807 -5.40932628410136 -0.509332912530754 22.9248701033543 -23.434203015885 269.914038461538 92.4796027822851 2.91863319414302 134.957019230769 53.4264725559916 2.20669285993845 2.91863319414302 0.824083178982685 0.464976231785848
"B1B041" 1 "S03M15" 2015 1.5 3 0 7.5 115.44 23738.8305 0 0 1 0 0 1 0 1 0 0 0 106.25 0 0 0 0 9.19 0 0 0 45 0 0 0 0 15 0 0.462844953333333 0.00671942031045349 0.0044737097936168 0.00784227556887184 0.826206154040145 6.58960736655106 -5.76340121251092 -1.27548693845792 20.3962079999118 -21.6716949383697 268.539051861538 136.062022432828 1.97365177336029 89.513017285641 52.8484920445416 1.34032817814642 1.97365177331904 0.751247949614881 0.639670307961663
"B1B043" 1 "S06M09" 2015 1.5 6 0 12.5 161.985 23738.8305 0 1 1 1 0 1 0 1 1 0 0 118.7 15.89 0 0 0 25.715 1.68 0 1.5 45 11 0 0 0 11 0.5 0.683012673866667 0.0169323155231402 0.00810986615946683 0.0186968053958748 0.617388708733583 7.01235888001846 -6.39497017128488 -4.34735868014539 26.2875067227721 -30.6348654029175 311.651331676923 117.527504243653 2.65173104527789 51.9418886117051 44.0600848964768 0.961264371622661 2.65173104511081 0.270649403982576 0.121144024054043
"B1B049" 1 "S02M20" 2015 1.5 2 0 25 60.945 23738.8305 1 0 0 1 0 0 0 0 0 60.65 0 0 0.295 0 0 0 0 0 15 0 0 25 0 0 0 0 0 0.050834167 0.00291975132643341 0.00332218376614716 0.00251731888671965 0.895603273419996 1.04887110532231 -0.153267831902315 -0.681898521739033 7.29289649725908 -7.97479501899811 207.211538461538 105.154576623825 1.97054227323654 103.605769230769 61.8711066705767 2.55717073989876 1.97054227323654 0.756384362900071 -0.044941668531869
"B1B050" 1 "S06M05" 2015 1.5 6 0 12.5 178.455 23738.8305 1 0 1 1 1 1 0 0 1 4.795 0 87.3 4.92 79.045 2.355 0 0 0.04 10 0 30 11 25 1 0 0 5 0.553696927533333 0.00641491770519179 0.00482135100613016 0.00673363104500412 0.90726914637576 8.1555877706469 -7.24831862427114 -7.01470307636966 32.6922459866081 -39.7069490629777 235.821544176923 110.784698409415 2.12864725510578 39.303590696359 35.5509688342612 0.954515065957319 2.12864725514171 0.33104606379955 0.144502607997659
"B1B052" 1 "S02M45" 2015 1.5 2 0 20 103.635 23738.8305 1 0 0 0 0 0 0 0 1 103.6 0 0 0 0 0 0 0 0.035 20 0 0 0 0 0 0 0 5.5 0.074338555 0.00732039184146356 0.00672156419661428 0.00791921948631284 0.952735963107947 14.1792110676159 -13.2264751045079 -1.06010476996051 26.8655687377159 -27.9256735076764 192.900426069231 91.6593255445437 2.10453682615728 96.4502130329231 48.983905301602 1.46918635268652 2.10453682609681 0.891940313527657 0.538622883584146
"B1B054" 1 "S04M23" 2015 1.5 4 0 15 195.315 23738.8305 0 1 1 0 1 0 0 1 0 0 0 114.195 0 46.62 0 0 34.5 0 0 0 20 0 20 0 0 15 0 0.98143224 0.0102080949148381 0.0100530571529856 0.010259774168789 0.686899671469068 5.27116511457962 -4.58426544311055 -1.80718090110815 22.2458067361538 -24.052987637262 292.111829223077 127.143443049579 2.29749818171251 73.0279573027885 52.2143603473606 1.08856189474414 2.29749818151986 0.449393460747673 -0.0786335111276849
"B1B060" 1 "S02M38" 2015 1.5 2 0 20 46.175 23738.8305 1 0 0 0 0 0 0 1 0 42.94 0 0 0 0 0 0 3.235 0 20 0 0 0 0 0 0 6 0 0.212924919 0.0054678415907035 0.00609429549217016 0.00484138768923683 0.852731872169279 4.25438303744973 -3.40165116528045 -1.39627815924661 17.7081104039214 -19.104388563168 212.651653846154 141.077641876938 1.50733773982166 106.325826923077 86.5602124209199 1.24008426807365 1.50733773982166 0.696232668675212 0.392162345467087
"B1B061" 1 "S02M44" 2015 1.5 2 0 25 124.695 23738.8305 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 124.695 0 0 0 0 0 0 0 0 31 10 0 0.991016846 0.0172923107357755 0.0112122717103949 0.023372349761156 0.945224228439939 10.9551543120122 -10.0099300835723 -0.878403436965176 35.007520069131 -35.8859235060962 135.198684503846 139.104445221268 0.971922099892573 67.5993422519231 77.5301635010545 0.920534273522387 0.971922099892573 0.81479531807587 0.573856668242399
"B1B064" 1 "S03M02" 2015 1.5 3 0 7.5 131.945 23738.8305 1 0 1 0 1 0 0 0 0 7.32 0 119.4 0 5.225 0 0 0 0 6 0 45 0 25 0 0 0 0 0.852814661333333 0.00358141438754656 0.0042910219923914 0.00322661058512415 0.935021730841436 5.76034420962793 -4.82532247878649 -1.52395906907572 18.3136659404105 -19.8376250094862 208.024714307692 97.2515315950224 2.13903792460519 69.3415714344103 46.1689260925145 1.18647766341974 2.13903792447939 0.563384621292476 0.014478046206258
"B1B065" 1 "S02M25" 2015 1.5 2 0 9 166.995 23738.8305 0 0 1 0 1 0 0 0 0 0 0 68.945 0 98.05 0 0 0 0 0 0 35 0 30 0 0 0 0 0.797879481 0.00384502578669 0.00496956389339932 0.00272048767998067 0.959175661014301 8.16486779713974 -7.20569213612544 -0.495481327141681 3.82790767584778 -4.32338900298946 232.954627515385 135.598299763756 1.7179760212425 116.477313756577 84.9352276443201 1.06698063763981 1.71797602121109 0.67912889779653 -0.304315014579049
"B1B066" 1 "S03M14" 2015 1.5 3 0 3.5 229.265 23738.8305 0 0 0 1 1 0 0 1 0 0 0 0 171.4 32.715 0 0 25.15 0 0 0 0 30 40 0 0 10.5 0 0.994764607333333 0.00462583021653215 0.00685771795021051 0.00350988634969298 0.820367010044251 1.72193052205279 -0.901563512008537 -1.24034725705247 18.7169893603843 -19.9573366174367 245.627565423077 116.233373042381 2.11322754380978 81.8758551409231 83.6027360740853 0.894717627264465 2.11322754380651 0.268381376630726 -0.33073345106533
"B1B069" 1 "S09M01" 2015 1.5 9 0 7.5 311.21 23738.8305 1 1 1 1 1 1 1 1 1 0.6 0 141.27 10.435 121.1 0 33.75 4.055 0 10 0 25 15 35 0 10.5 5 0 0.713055136166667 0.012247949129565 0.00804123305430551 0.0127737886389725 0.725363932950081 6.14198450534007 -5.41662057238999 -27.4301047869585 29.8053910482126 -57.2354958351711 374.047778092308 118.98356474804 3.143692819125 41.5608642317265 40.44168510158 0.778778671753112 3.14369281924235 0.171928321211924 0.0261238051637361
"B1B070" 1 "S04M25" 2015 1.5 4 0 17.5 134.795 23738.8305 1 0 0 0 1 0 1 1 0 13.695 0 0 0 73.2 0 43.9 4 0 10 0 0 0 55 0 10.5 10 0 0.875755443333333 0.00832642023533256 0.00824163833147835 0.00835468086995063 0.891844555604427 5.74090687717915 -4.84906232157472 -2.4003731678432 24.6034647266436 -27.0038378944868 231.656262307692 84.3553410760153 2.7461955503083 57.9140655759615 64.7978281212121 0.882944433119676 2.7461955500369 0.157203905750213 -0.290936061095593
"B1B071" 1 "S02M22" 2015 1.5 2 0 6 208.845 23738.8305 0 0 1 1 0 0 0 0 0 0 0 196.85 11.995 0 0 0 0 0 0 0 50 25 0 0 0 0 0 0.430508344 0.00245887499691743 0.00302074270698471 0.00189700728685016 0.963263493375804 7.34730132483931 -6.3840378314635 -0.554983385862516 18.4047714388016 -18.9597548246641 281.382025646154 108.625845753864 2.59037822622563 140.691012820769 78.5879109680094 1.63074441513726 2.59037822639284 0.571470453362416 0.0443265075356479
"B1B072" 1 "S02M17" 2015 1.5 2 0 20 128.65 23738.8305 1 1 0 0 0 0 0 0 0 128.65 0 0 0 0 0 0 0 0 30 5 0 0 0 0 0 0 0 1.483979734 0.0133032750255091 0.0119761931107772 0.0146303569402409 0.961480511209692 11.5558466370924 -10.5943661258827 -0.557527867901299 11.8036536649427 -12.361181532844 184.63043237 101.592277687179 1.81736679768625 92.3152161853846 77.5232476035593 1.02242168964773 1.81736679769237 0.480403804021771 -0.240694729555436
"B1B074" 1 "S04M19" 2015 1.5 4 0 7.5 79.6 23738.8305 1 0 1 0 1 1 0 0 0 0 0 35.1 0 44.5 0 0 0 0 6 0 35 0 25 0 0 0 0 0.695758445833333 0.0045556244089174 0.00367712162300229 0.0048484586708891 0.854914130081483 6.50580212902891 -5.65088799894743 -2.93360090120918 25.898384997922 -28.8319858991312 170.686650230769 71.7674709592324 2.37832889956131 42.6716625563462 28.9866207203422 1.10097396623062 2.37832889951651 0.465264189811309 0.077136808292325
"B1B078" 1 "S04M17" 2015 1.5 4 0 6 150.55 23738.8305 1 1 0 1 1 0 0 0 0 25.14 0.97 0 54.96 69.48 0 0 0 0 10 10 0 25 40 0 0 0 0 0.946721171166667 0.0094490906872984 0.00881772181955528 0.0096595469765461 0.807864341328293 3.29990448468787 -2.49204014335958 -3.29201703876822 17.9876117537534 -21.2796287925217 175.815193976923 80.8171481178472 2.17546892053838 43.9537984935577 35.8582209621905 1.08183719195667 2.17546892052436 0.387460543384818 -0.0556040802286597
"B1B079" 1 "S03M16" 2015 1.5 3 0 30 83.225 23738.8305 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 26.05 57.175 0 0 1 0 0 0 0 16 15 0 1.13126976866667 0.0198759646175595 0.0144809971506562 0.0225734483510112 0.323059036526286 4.52188831562055 -4.19882927909426 -0.737616419218876 19.3986681776095 -20.1362845968284 142.905978883077 125.012764050557 1.14313110319906 47.6353262935897 59.9797495645936 0.801421798527344 1.1431311031908 0.506384949423618 0.364023503872243
"B1B082" 1 "S03M03" 2015 1.5 3 0 20 128.12 23738.8305 1 1 0 0 0 1 0 0 0 113.545 3.225 0 0 0 11.35 0 0 0 20 15 0 0 0 10 0 0 0 0.989319822666667 0.0125114761979229 0.00859593557879644 0.0144692465074862 0.649139979092543 7.2206469582253 -6.57150697913275 -1.44721454754347 17.7712080897678 -19.2184226373113 156.016364361538 59.0245935541517 2.6432433493744 52.0054547850769 38.1180245949757 1.12916453406232 2.64324334920319 0.346582553581702 -0.123633410860511
"B1B083" 1 "S06M10" 2015 1.5 6 0 6.5 69.595 23738.8305 1 1 0 1 0 0 1 1 1 16.42 0 0 51.9 0 0 1.275 0 0 15 0 0 35 0 0 1 1.5 0 0.7395099252 0.0167104481566197 0.0100994248645193 0.0180326528150397 0.639197439459372 6.07182051436424 -5.43262307490487 -5.33441424185133 28.9703711906883 -34.3047854325396 227.428456130769 94.1955928855004 2.41442777909175 37.9047426865128 27.2861049268854 1.0322784735678 2.41442777892339 0.413230918376525 0.225135480575662
"B1B084" 1 "S04M34" 2015 1.5 4 0 22.5 78.88 23738.8305 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 78.88 0 0 0 0 0 0 0 0 30 6 0.884918387666667 0.0290480191165509 0.0106544278857079 0.0351792161934985 0.192065181079244 2.90548709140988 -2.71342191033064 -1.69703683148523 17.663293645005 -19.3603304764902 167.055920397692 101.619155527066 1.64394123855121 41.7639800988462 45.8673214991717 0.810938781773338 1.64394123863172 0.347994960060865 -0.0203301564518934
"B1B087" 1 "S02M49" 2015 1.5 2 0 7.5 61.05 23738.8305 0 0 0 0 1 0 0 0 1 0 0 0 0 47.3 0 0 0 13.75 0 0 0 0 55 0 0 0 20 1.353560547 0.00593566498997294 0.0090586309588005 0.00281269902114538 0.983183537188085 2.29823677937485 -1.31505324218677 -0.226460547365804 17.3461306138799 -17.5725911612457 138.876576923077 59.5345235479123 2.33270661536934 69.4382884615385 54.988729872876 1.21506289319466 2.33270661536934 0.368373660263906 -0.302807874334588
"B1B089" 1 "S03M22" 2015 1.5 3 0 7.5 131.3 23738.8305 0 0 1 0 0 0 1 0 1 0 0 126.95 0 0 0 4.35 0 0 0 0 60 0 0 0 5.5 0 0 0.568286988 0.00709600799003373 0.00867004563390958 0.0063089891680958 0.961316713996853 11.6049858009442 -10.6436690869473 -2.02628632075015 30.6143303941475 -32.6406167148977 256.962034707692 75.1097592683373 3.4211537516672 85.6540115673846 29.1507767946205 1.84149497657448 3.42115375159492 0.754216424071375 0.464957226230526
"B1B091" 1 "S02M36" 2015 1.5 2 0 17.5 74.75 23738.8305 0 0 0 0 1 0 1 0 0 0 0 0 0 67.25 0 7.5 0 0 0 0 0 0 45 0 10.5 0 0 0.501130065 0.00729723120195404 0.0103889811707865 0.00420548123312153 0.893206564581318 1.53345389965189 -0.640247335070573 -0.338677515749759 15.323904680935 -15.6625821966848 112.427331507692 58.3333694891939 1.92732448840486 56.2136657546154 42.5591034102597 1.2345697168051 1.92732448840926 0.527389374086672 -0.00321951038956609
"B1B092" 1 "S02M19" 2015 1.5 2 0 10 204.39 23738.8305 0 1 1 0 0 0 0 0 0 0 0.04 204.35 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 1.002637223 0.0145523648141151 0.0116747520516147 0.0174299775766155 0.959036079252126 12.2891762243621 -11.33014014511 -0.542705612448024 2.20254684902772 -2.74525246147574 234.349288461538 82.7934526686142 2.83052923761418 117.174644230769 56.994608948092 1.57017444762174 2.83052923761418 0.623330674621888 -0.126360439226652
"B1B095" 1 "S03M19" 2015 1.5 3 0 7.5 93.36 23738.8305 0 0 1 1 0 0 0 0 1 0 0 55.15 38.21 0 0 0 0 0 0 0 25 25 0 0 0 0 0.5 0.370454044 0.00570508800146505 0.00551689187227414 0.0057991860660605 0.950803473712382 13.534407665479 -12.5836041917666 -2.47800728981162 33.176962352638 -35.6549696424497 246.466233223077 125.078111450405 1.97049851780664 82.1554110738718 60.6060431590784 1.17575259300247 1.97049851784135 0.53531708146615 0.106104706118758
"B2B001" 2 "S02M35" 2015 1.5 2 0 32.5 51.055 23738.8305 0 0 0 1 0 0 1 0 0 0 0 0 46.91 0 0 4.145 0 0 0 0 0 30 0 0 6 0 0 0.72725776 0.00772778187795803 0.00844015998437193 0.00701540377154412 0.872940031851586 2.2456142493812 -1.37267421752962 -1.16689358730465 4.2936214069404 -5.46051499424506 159.514230769231 136.065034340907 1.17233815095781 79.7571153846154 73.6483619082355 0.94775618897118 1.17233815095781 0.864804211945782 0.318003403668448
"B2B002" 2 "S09M01" 2015 1.5 9 0 3.5 170.4 23738.8305 1 1 1 1 1 1 1 1 1 6.41 0 109.1 8.65 33.05 0 13.19 0 0 6 0 35 16 45 0.5 5.5 0 0 0.713055136166667 0.012247949129565 0.00804123305430551 0.0127737886389725 0.725363932950081 6.14198450534007 -5.41662057238999 -Inf 29.8053910482126 -Inf 295.240555030769 140.461761809286 2.10192832004796 32.8045061130171 29.5104195730003 0.882196303494007 2.10192831993576 0.339257072340865 0.343590730929901
"B2B005" 2 "S02M49" 2015 1.5 2 0 6 33.905 23738.8305 0 0 0 0 1 0 0 0 1 0 0 0 0 31.3 0 0 0 2.605 0 0 0 0 55 0 0 0 5 1.353560547 0.00593566498997294 0.0090586309588005 0.00281269902114538 0.983183537188085 2.29823677937485 -1.31505324218677 -0.226460547365804 17.3461306138799 -17.5725911612457 124.778837408462 84.6342148390499 1.47433089142205 62.3894187023462 64.7118255687071 0.87379329342765 1.47433089133625 0.461387884981661 -0.15047809929287
"B2B007" 2 "S02M45" 2015 1.5 2 0 11 141.7 23738.8305 1 0 0 0 0 0 0 0 1 141.7 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0.074338555 0.00732039184146356 0.00672156419661428 0.00791921948631284 0.952735963107947 14.1792110676159 -13.2264751045079 -1.06010476996051 26.8655687377159 -27.9256735076764 163.52252327 92.9969873790999 1.75836366186148 81.7612616346538 49.2025164881854 1.21823913624358 1.75836366183454 0.905595525518905 0.468569163241128
